Behavior_Coding_Session
"S:/IoN_WisemanLab/Sevda/Odour task/Videos/TDP43/15weeks/ROI/roi_20211216NFWTDP4322a.mp4"
 Subject = 1639648207551_000000_20211216NFWTDP4322a
Date upon Generation: 	18:44:15
21/11/2023
Coding Start time:
Code,timeON,timeOFF,notes,minsOn,minsOff
Odour2.1, 772.9, 773.4, ,0:12:52,0:12:53
Odour2.1, 779.4, 781.4, ,0:12:59,0:13:1
Odour2.1, 786.8, 787.5, ,0:13:6,0:13:7
Odour2.1, 802.5, 804.1, ,0:13:22,0:13:24
Odour2.1, 806.1, 806.6, ,0:13:26,0:13:26
Odour2.1, 807.4, 807.7, ,0:13:27,0:13:27
Odour2.1, 845.8, 848.8, ,0:14:5,0:14:8
Odour2.1, 850.8, 854.3, ,0:14:10,0:14:14
Odour2.1, 859.0, 860.7, ,0:14:19,0:14:20
Odour2.1, 861.3, 865.5, ,0:14:21,0:14:25
Odour2.1, 871.9, 872.6, ,0:14:31,0:14:32
Odour2.2, 984.3, 985.4, ,0:16:24,0:16:25
Odour2.2, 985.8, 986.5, ,0:16:25,0:16:26
Odour2.2, 988.8, 989.5, ,0:16:28,0:16:29
Odour2.3, 1216.0, 1217.9, ,0:20:16,0:20:17
Odour2.3, 1223.2, 1224.6, ,0:20:23,0:20:24
Odour2.3, 1236.4, 1236.6, ,0:20:36,0:20:36
Odour3.1, 1423.9, 1425.2, ,0:23:43,0:23:45
Odour3.1, 1425.6, 1427.8, ,0:23:45,0:23:47
Odour3.1, 1428.9, 1431.3, ,0:23:48,0:23:51
Odour3.1, 1433.3, 1434.9, ,0:23:53,0:23:54
Odour3.1, 1435.2, 1436.8, ,0:23:55,0:23:56
Odour3.1, 1439.9, 1441.8, ,0:23:59,0:24:1
Odour3.1, 1442.4, 1443.0, ,0:24:2,0:24:3
Odour3.1, 1447.4, 1449.4, ,0:24:7,0:24:9
Odour3.1, 1451.6, 1453.0, ,0:24:11,0:24:13
Odour3.1, 1454.4, 1458.2, ,0:24:14,0:24:18
Odour3.1, 1463.7, 1465.2, ,0:24:23,0:24:25
Odour3.1, 1469.1, 1470.5, ,0:24:29,0:24:30
Odour3.1, 1472.9, 1473.5, ,0:24:32,0:24:33
Odour3.1, 1478.5, 1479.0, ,0:24:38,0:24:39
Odour3.1, 1481.8, 1482.3, ,0:24:41,0:24:42
Odour3.1, 1482.6, 1483.5, ,0:24:42,0:24:43
Odour3.1, 1486.3, 1488.0, ,0:24:46,0:24:48
Odour3.1, 1498.5, 1498.9, ,0:24:58,0:24:58
Odour3.2, 1631.7, 1632.9, ,0:27:11,0:27:12
Odour3.2, 1633.4, 1638.9, ,0:27:13,0:27:18
Odour3.2, 1641.7, 1642.6, ,0:27:21,0:27:22
Odour3.2, 1652.3, 1652.7, ,0:27:32,0:27:32
Odour3.2, 1653.0, 1653.9, ,0:27:33,0:27:33
Odour3.2, 1654.4, 1655.4, ,0:27:34,0:27:35
Odour3.2, 1690.6, 1691.2, ,0:28:10,0:28:11
Odour3.2, 1700.3, 1700.7, ,0:28:20,0:28:20
Odour3.2, 1701.1, 1702.0, ,0:28:21,0:28:22
Odour3.2, 1750.7, 1751.4, ,0:29:10,0:29:11
Odour3.2, 1752.2, 1754.4, ,0:29:12,0:29:14
Odour3.2, 1755.3, 1756.2, ,0:29:15,0:29:16
Odour3.2, 1758.1, 1761.9, ,0:29:18,0:29:21
Odour3.3, 1856.8, 1860.1, ,0:30:56,0:31:0
Odour3.3, 1860.6, 1863.0, ,0:31:0,0:31:3
Odour3.3, 1865.7, 1866.9, ,0:31:5,0:31:6
Odour3.3, 1867.6, 1868.6, ,0:31:7,0:31:8
Odour3.3, 1870.8, 1872.1, ,0:31:10,0:31:12
Odour3.3, 1872.4, 1872.7, ,0:31:12,0:31:12
Odour3.3, 1876.2, 1878.0, ,0:31:16,0:31:18
Odour3.3, 1880.0, 1882.0, ,0:31:20,0:31:22
Odour3.3, 1883.6, 1887.3, ,0:31:23,0:31:27
Odour3.3, 1905.1, 1907.2, ,0:31:45,0:31:47
Odour3.3, 1953.0, 1954.6, ,0:32:33,0:32:34
Odour3.3, 1955.3, 1958.8, ,0:32:35,0:32:38
Odour3.3, 1962.7, 1965.2, ,0:32:42,0:32:45
Odour3.3, 1966.1, 1968.0, ,0:32:46,0:32:48
Odour3.3, 1969.8, 1971.7, ,0:32:49,0:32:51
Odour3.3, 1984.6, 1985.2, ,0:33:4,0:33:5
Odour3.3, 1985.8, 1986.6, ,0:33:5,0:33:6
